127.0.0.1 - - [20/Dec/2023:21:00:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:00:58 +0530] "GET /jsp_registration_project/add_emp.jsp HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:00:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:08 +0530] "GET /jsp_registration_project/add_emp.jsp HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:11 +0530] "GET /jsp_registration_project/vive_emp.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:18 +0530] "GET /jsp_registration_project/vive_emp.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:20 +0530] "GET /jsp_registration_project/vive_emp.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:22 +0530] "GET /jsp_registration_project/add_emp.jsp HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:25 +0530] "GET /jsp_registration_project/vive_emp.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:31 +0530] "GET /jsp_registration_project/add_emp.jsp HTTP/1.1" 200 2126
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:35 +0530] "GET /jsp_registration_project/vive_emp.jsp HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:38 +0530] "GET /jsp_registration_project/update HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:42 +0530] "GET /jsp_registration_project/delete HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Dec/2023:21:01:48 +0530] "GET /jsp_registration_project/vive_emp.jsp HTTP/1.1" 200 2841
